term,Mnl1_coef,Mnl2_coef
q1 q2^2,-37914857068.12608,0.0
q2^3,22191949816.5261,31063522487.371136
q1^2 q2,11569840250.493713,0.0
q1^3,-5860895574.926858,0.0
q1 q2,-17884592.98202944,0.0
q1^2,15720955.21097388,0.0
q2,0.0,-1979379.6941593594
q1 qd2^2,-863206.6461853518,0.0
q2^2,-849323.916522861,0.0
q2 qd1 qd2,644370.6027550297,0.0
q2 qd2^2,579659.1627944647,0.0
q1,0.0,58187.31897671653
q2 qd1^2,-18744.137864563116,0.0
q1 qd1 qd2,11422.156942337971,0.0
qd1^2,167.2976698455353,0.0
qd1 qd2,-86.46104087298147,0.0
qd2^2,40.76118823803093,0.0
