term,Mnl1_coef,Mnl2_coef
q1 q2^2,-46126685435.520546,-2382638799042856.0
q1^2 q2,-52091508235.84474,1920352140478255.8
q2^3,-7610935603.65205,1022620883031504.2
q1^3,-15111842858.25308,-502730476153460.8
q2^2 qd2,1804307267.452947,0.0
q2^2 qd1,1577323407.8619585,0.0
q1 q2 qd2,-1536221998.1825175,0.0
q2 qd1 qd2,0.0,-1357928616.8083339
q2 qd2^2,0.0,1330951025.541627
q2 qd1^2,0.0,1028291836.1197469
q1 q2 qd1,114078914.75466533,0.0
q1^2,-11355274.841073062,0.0
q1 q2,-6473620.885232885,0.0
q2^2,6252049.147564476,0.0
q2,470.9408390055582,-3282030.108285111
q1,668.3624439752554,174634.91139562015
qd2^3,12672.59378947089,0.0
qd1 qd2^2,8314.598239892788,0.0
q2 qd2,7545.020121053564,0.0
qd1^2 qd2,6298.4102428004135,0.0
qd1^3,1251.9601637818353,0.0
qd2^2,281.50192761897284,0.0
qd1 qd2,133.66405732338848,0.0
qd1^2,-105.42339658706288,0.0
qd1,-35.42078792035126,0.0
qd2,18.14399647700036,0.0
